Info,Date,Home,Away,FTHG,FTAG,Home Ball Possession,Home Goal Attempts,Home Shots on Goal,Home Shots off Goal,Home Blocked Shots,Home Corner Kicks,Home Offsides,Home Goalkeeper Saves,Home Fouls,Home Yellow Cards,Home Total Passes,Home Tackles,Home Attacks,Home Dangerous Attacks,Away Ball Possession,Away Goal Attempts,Away Shots on Goal,Away Shots off Goal,Away Blocked Shots,Away Corner Kicks,Away Offsides,Away Goalkeeper Saves,Away Fouls,Away Yellow Cards,Away Total Passes,Away Tackles,Away Attacks,Away Dangerous Attacks,Away Red Cards,Home Red Cards
Championship - Round 17,09.12.2020 13:45,Barnsley,Wycombe,2,1,52%,14,8,5,1,7,4,1,15,3,327,10,100,54,48%,6,2,2,2,5,3,6,11,3,299,10,97,44,,
Championship - Round 17,09.12.2020 13:45,Bristol City,Blackburn,1,0,41%,16,3,10,3,5,3,7,11,1,322,11,119,41,59%,22,7,10,5,8,1,2,7,0,485,15,108,38,,
Championship - Round 17,09.12.2020 13:45,Norwich,Nottingham,2,1,57%,19,6,5,8,7,3,1,12,4,527,14,90,49,43%,13,2,4,7,7,0,4,7,1,370,16,122,58,,
Championship - Round 17,09.12.2020 13:45,Reading,Birmingham,1,2,64%,11,2,8,1,4,1,1,9,1,577,15,89,28,36%,5,3,0,2,1,2,1,25,5,318,20,127,43,1,0
Championship - Round 17,09.12.2020 13:00,Preston,Middlesbrough,3,0,49%,11,6,4,1,0,0,3,10,0,331,9,110,47,51%,10,3,4,3,4,0,3,8,1,335,13,119,67,,
Championship - Round 17,08.12.2020 13:45,Coventry,Luton,0,0,51%,7,1,4,2,4,3,1,14,3,335,13,103,43,49%,6,1,3,2,7,3,1,20,2,311,14,101,51,,
Championship - Round 17,08.12.2020 13:45,Huddersfield,Sheffield Wed,2,0,59%,13,2,7,4,2,2,2,8,1,468,10,89,32,41%,5,2,2,1,8,1,0,14,3,309,15,82,36,,
Championship - Round 17,08.12.2020 13:45,Millwall,QPR,1,1,54%,17,4,8,5,2,2,5,6,0,433,12,117,57,46%,11,6,4,1,2,0,3,16,3,375,17,100,53,,
Championship - Round 17,08.12.2020 13:45,Stoke,Cardiff,1,2,51%,5,1,3,1,3,0,0,13,2,345,21,105,37,49%,4,2,1,1,4,1,1,11,2,335,10,94,37,,
Championship - Round 17,08.12.2020 13:45,Swansea,Bournemouth,0,0,41%,6,1,3,2,1,2,1,10,1,342,25,98,40,59%,14,1,7,6,3,2,1,14,3,484,13,119,39,,
Championship - Round 16,05.12.2020 09:00,Brentford,Blackburn,2,2,67%,16,3,7,6,4,0,0,11,3,611,12,108,49,33%,7,2,1,4,2,3,1,8,6,298,14,88,37,1,0
Championship - Round 16,05.12.2020 09:00,Bristol City,Birmingham,0,1,51%,10,2,3,5,4,0,2,6,0,410,11,129,41,49%,11,3,6,2,6,1,2,20,3,406,12,127,47,,
Championship - Round 16,05.12.2020 09:00,Coventry,Rotherham,3,1,43%,10,7,2,1,5,4,0,14,0,264,17,88,32,57%,10,1,6,3,6,0,4,17,3,343,12,138,64,,
Championship - Round 16,05.12.2020 09:00,Huddersfield,QPR,2,0,58%,11,6,3,2,3,6,2,15,0,567,14,98,52,42%,5,2,2,1,3,3,4,7,2,413,10,103,31,,
Championship - Round 16,05.12.2020 09:00,Millwall,Derby,0,1,46%,12,3,6,3,4,1,2,14,0,415,15,122,53,54%,11,3,4,4,3,1,3,15,5,519,9,120,37,,
Championship - Round 16,05.12.2020 09:00,Norwich,Sheffield Wed,2,1,70%,19,4,8,7,9,0,4,7,1,658,11,137,63,30%,11,5,6,0,4,5,2,11,2,285,12,71,38,,
Championship - Round 16,05.12.2020 09:00,Preston,Wycombe,2,2,60%,19,2,8,9,8,2,2,17,0,358,18,84,59,40%,17,4,10,3,6,1,0,15,3,228,9,106,50,,
Championship - Round 16,05.12.2020 09:00,Stoke,Middlesbrough,1,0,48%,9,5,2,2,0,1,1,18,2,321,16,98,41,52%,8,1,3,4,2,3,4,12,3,345,13,123,57,,
Championship - Round 16,05.12.2020 09:00,Swansea,Luton,2,0,45%,11,5,4,2,2,1,2,12,1,440,11,119,38,55%,7,2,4,1,3,1,3,14,3,523,16,147,42,1,0
Championship - Round 16,05.12.2020 09:00,Watford,Cardiff,0,1,65%,13,1,6,6,6,1,0,14,1,450,8,104,59,35%,10,1,5,4,5,3,1,17,2,239,16,91,38,,
Championship - Round 16,05.12.2020 06:30,Reading,Nottingham,2,0,65%,24,9,8,7,7,1,1,14,1,580,20,113,64,35%,2,1,0,1,3,0,7,16,1,305,13,79,20,1,0
Championship - Round 15,02.12.2020 13:45,Blackburn,Millwall,2,1,55%,20,4,6,10,2,3,4,14,0,484,11,106,41,45%,17,5,4,8,8,1,2,13,2,375,9,131,53,,
Championship - Round 15,02.12.2020 13:45,Luton,Norwich,3,1,32%,10,5,3,2,4,1,3,9,1,304,11,70,47,68%,11,4,4,3,9,1,2,12,2,668,10,135,62,,
Championship - Round 15,02.12.2020 13:45,Nottingham,Watford,0,0,40%,13,0,7,6,5,1,1,14,3,346,11,88,42,60%,6,1,2,3,6,1,0,10,2,521,15,99,51,,
Championship - Round 15,02.12.2020 13:45,Sheffield Wed,Reading,1,1,22%,3,1,2,0,2,0,5,13,2,187,9,64,23,78%,20,6,9,5,7,1,0,12,0,662,9,158,83,0,1
Championship - Round 15,02.12.2020 13:45,Wycombe,Stoke,0,1,45%,8,1,3,4,3,1,3,13,2,271,13,131,59,55%,14,4,8,2,7,3,1,8,4,323,9,86,50,,
Championship - Round 15,02.12.2020 13:00,Middlesbrough,Swansea,2,1,38%,13,5,3,5,6,1,2,15,2,268,11,118,44,62%,10,3,1,6,8,3,3,17,2,447,13,114,48,,
Championship - Round 15,01.12.2020 14:00,Rotherham,Brentford,0,2,37%,8,2,3,3,6,1,2,21,5,236,15,92,54,63%,10,4,3,3,3,6,2,10,0,423,13,78,21,0,1
Championship - Round 15,01.12.2020 13:45,Birmingham,Barnsley,1,2,54%,5,1,2,2,1,1,1,13,2,445,21,141,39,46%,12,3,8,1,1,3,0,10,1,375,15,157,46,,
Championship - Round 15,01.12.2020 13:45,Bournemouth,Preston,2,3,54%,14,4,9,1,1,0,2,11,2,467,5,140,71,46%,8,5,2,1,4,4,2,16,3,409,16,102,37,,
Championship - Round 15,01.12.2020 13:45,Derby,Coventry,1,1,54%,12,3,8,1,2,1,2,13,4,498,14,137,57,46%,9,3,5,1,2,2,2,13,1,431,14,72,29,,
Championship - Round 15,01.12.2020 13:45,QPR,Bristol City,1,2,64%,19,4,9,6,9,1,1,16,2,568,12,118,90,36%,13,3,5,5,2,5,3,8,1,330,10,85,30,,
Championship - Round 14,29.11.2020 06:00,Nottingham,Swansea,0,1,49%,13,1,8,4,6,0,2,17,4,413,13,108,58,51%,13,3,6,4,8,3,1,12,2,443,25,111,53,,
Championship - Round 14,28.11.2020 09:00,Birmingham,Millwall,0,0,54%,8,2,6,0,3,2,1,16,2,392,14,81,39,46%,9,1,5,3,6,1,2,10,1,331,12,61,33,,
Championship - Round 14,28.11.2020 09:00,Blackburn,Barnsley,2,1,63%,7,6,1,0,3,1,4,14,2,501,18,51,20,37%,23,5,11,7,11,3,4,13,0,287,21,92,39,,
Championship - Round 14,28.11.2020 09:00,Cardiff,Luton,4,0,39%,20,6,10,4,11,3,0,12,1,304,15,72,32,61%,5,0,4,1,4,3,2,7,0,493,12,88,47,,
Championship - Round 14,28.11.2020 09:00,Derby,Wycombe,1,1,55%,11,5,4,2,5,6,1,13,0,417,18,70,39,45%,8,2,4,2,3,1,4,14,1,331,14,74,28,,
Championship - Round 14,28.11.2020 09:00,Huddersfield,Middlesbrough,3,2,62%,13,5,4,4,5,0,1,17,4,459,15,62,25,38%,10,3,3,4,9,1,2,12,3,266,7,58,42,,
Championship - Round 14,28.11.2020 09:00,Norwich,Coventry,1,1,63%,9,6,1,2,1,1,3,13,2,702,13,80,29,37%,13,4,9,0,8,1,5,10,0,387,14,57,39,,
Championship - Round 14,28.11.2020 09:00,Rotherham,Bournemouth,2,2,35%,13,5,4,4,7,2,3,20,2,223,24,47,33,65%,11,5,4,2,4,2,3,16,3,438,7,82,19,,
Championship - Round 14,28.11.2020 09:00,Sheffield Wed,Stoke,0,0,37%,5,0,2,3,1,0,2,16,4,301,7,40,26,63%,8,2,5,1,5,1,0,12,2,511,9,69,28,,
Championship - Round 14,28.11.2020 09:00,Watford,Preston,4,1,59%,26,11,9,6,8,3,3,7,1,622,9,81,53,41%,9,4,3,2,3,0,7,2,0,440,10,74,35,,
Championship - Round 14,28.11.2020 06:30,Reading,Bristol City,3,1,45%,21,10,5,6,5,1,1,14,0,403,10,88,41,55%,4,2,2,0,1,1,7,13,2,488,13,108,42,,
Championship - Round 13,25.11.2020 13:45,Bristol City,Watford,0,0,36%,9,2,5,2,5,0,1,15,,307,19,100,37,64%,7,1,3,3,8,0,2,10,,547,16,131,55,,
Championship - Round 13,25.11.2020 13:45,Coventry,Cardiff,1,0,48%,11,5,5,1,3,3,3,13,1,436,12,117,28,52%,8,3,5,0,5,4,4,14,2,462,6,129,47,,
Championship - Round 13,25.11.2020 13:45,Swansea,Sheffield Wed,1,1,64%,10,4,3,3,6,1,1,11,4,624,8,145,56,36%,4,2,2,0,3,0,3,14,0,357,13,93,24,,
Championship - Round 13,25.11.2020 13:00,Middlesbrough,Derby,3,0,37%,10,5,5,0,4,4,2,11,0,266,22,126,43,63%,10,2,5,3,5,0,2,16,4,453,20,105,49,,
Championship - Round 13,25.11.2020 13:00,Millwall,Reading,1,1,52%,13,8,2,3,5,4,2,15,4,503,11,121,62,48%,7,3,3,1,0,0,7,14,4,484,13,99,22,,
Championship - Round 13,24.11.2020 14:00,Bournemouth,Nottingham,2,0,56%,12,4,5,3,5,0,3,11,2,528,14,123,48,44%,11,3,5,3,7,2,2,13,0,391,17,104,53,,
Championship - Round 13,24.11.2020 13:45,Barnsley,Brentford,0,1,32%,3,1,1,1,2,2,5,10,1,236,19,83,31,68%,13,6,6,1,12,2,1,6,0,521,9,112,67,,
Championship - Round 13,24.11.2020 13:45,Preston,Blackburn,0,3,25%,4,0,2,2,0,2,1,12,1,218,15,66,20,75%,17,4,5,8,4,2,0,9,1,652,9,131,58,0,1
Championship - Round 13,24.11.2020 13:00,Luton,Birmingham,1,1,57%,16,7,4,5,8,1,2,9,1,527,10,109,78,43%,11,3,6,2,4,1,6,11,1,392,20,101,42,,
Championship - Round 13,24.11.2020 13:00,QPR,Rotherham,3,2,52%,14,5,6,3,5,5,3,9,0,349,12,102,37,48%,13,5,4,4,4,7,2,19,3,307,19,99,58,,
Championship - Round 13,24.11.2020 13:00,Stoke,Norwich,2,3,49%,24,5,12,7,9,1,0,19,2,398,11,134,72,51%,5,3,0,2,5,0,3,12,4,435,16,69,13,1,0
Championship - Round 12,21.11.2020 09:00,Barnsley,Nottingham,2,0,41%,13,2,7,4,4,1,3,9,0,345,26,104,46,59%,10,3,3,4,8,2,0,14,1,488,13,125,51,,
Championship - Round 12,21.11.2020 09:00,Bristol City,Derby,1,0,37%,11,3,6,2,1,2,2,7,1,379,13,88,24,63%,13,2,8,3,6,0,2,11,1,633,11,141,56,,
Championship - Round 12,21.11.2020 09:00,Luton,Blackburn,1,1,42%,13,5,4,4,4,4,5,11,0,333,12,94,49,58%,15,6,4,5,6,1,4,14,4,484,10,101,60,,
Championship - Round 12,21.11.2020 09:00,Middlesbrough,Norwich,0,1,39%,9,4,3,2,5,1,1,14,0,297,25,118,65,61%,12,2,2,8,5,1,4,16,1,490,16,109,49,,
Championship - Round 12,21.11.2020 09:00,Millwall,Cardiff,1,1,41%,6,2,4,0,0,2,5,13,3,351,8,98,33,59%,14,6,5,3,5,0,1,14,0,503,13,141,35,,
Championship - Round 12,21.11.2020 09:00,Preston,Sheffield Wed,1,0,74%,9,1,5,3,6,1,0,10,0,647,16,163,74,26%,5,0,3,2,6,0,0,8,1,223,12,77,21,1,0
Championship - Round 12,21.11.2020 09:00,QPR,Watford,1,1,55%,14,3,7,4,7,1,2,14,1,445,11,105,75,45%,10,3,4,3,7,3,2,12,2,363,13,75,45,,
Championship - Round 12,21.11.2020 09:00,Stoke,Huddersfield,4,3,32%,14,7,4,3,4,3,1,16,2,241,19,88,43,68%,10,4,2,4,2,4,3,14,1,530,16,110,61,,
Championship - Round 12,21.11.2020 09:00,Swansea,Rotherham,1,0,54%,11,4,6,1,8,6,3,16,1,321,23,89,45,46%,8,3,4,1,6,3,3,11,1,260,13,120,47,,
Championship - Round 12,21.11.2020 09:00,Wycombe,Brentford,0,0,38%,11,3,4,4,3,4,4,11,4,225,8,95,53,62%,12,4,7,1,5,1,3,9,2,369,16,86,43,,
Championship - Round 12,21.11.2020 06:30,Bournemouth,Reading,4,2,60%,10,6,1,3,10,6,3,13,3,484,18,105,71,40%,9,5,3,1,2,2,2,7,1,333,17,97,35,,
Championship - Round 11,07.11.2020 09:00,Birmingham,Bournemouth,1,3,38%,15,3,10,2,5,0,4,17,2,292,20,90,41,62%,21,7,5,9,10,0,2,5,1,498,5,95,50,,
Championship - Round 11,07.11.2020 09:00,Blackburn,QPR,3,1,51%,17,9,2,6,12,5,3,10,1,423,12,103,61,49%,11,4,4,3,7,0,6,9,3,396,20,110,49,,
Championship - Round 11,07.11.2020 09:00,Brentford,Middlesbrough,0,0,60%,8,1,4,3,1,0,1,16,1,456,14,111,33,40%,7,1,5,1,4,3,1,7,0,294,16,92,55,,
Championship - Round 11,07.11.2020 09:00,Derby,Barnsley,0,2,71%,9,3,4,2,4,2,3,10,3,710,17,176,62,29%,17,5,8,4,3,0,3,13,2,288,18,103,39,,
Championship - Round 11,07.11.2020 09:00,Huddersfield,Luton,1,1,68%,13,2,3,8,4,2,1,11,1,520,15,109,52,32%,7,2,2,3,2,3,1,13,5,246,14,102,36,,
Championship - Round 11,07.11.2020 09:00,Norwich,Swansea,1,0,57%,21,5,2,14,4,1,5,15,1,504,13,104,47,43%,19,5,7,7,11,0,4,21,5,360,17,107,65,,
Championship - Round 11,07.11.2020 09:00,Nottingham,Wycombe,2,0,60%,13,5,7,1,6,2,5,12,1,461,8,94,51,40%,12,5,3,4,8,2,3,13,2,299,17,111,53,,
Championship - Round 11,07.11.2020 09:00,Rotherham,Preston,2,1,44%,11,4,4,3,3,1,2,15,1,307,12,119,40,56%,8,3,4,1,2,4,2,13,2,396,20,124,46,,
Championship - Round 11,07.11.2020 09:00,Sheffield Wed,Millwall,0,0,61%,15,7,5,3,5,1,0,10,2,507,12,121,44,39%,11,0,9,2,4,2,7,5,0,323,13,106,37,,
Championship - Round 11,07.11.2020 09:00,Watford,Coventry,3,2,53%,11,5,3,3,7,3,1,16,1,512,8,116,68,47%,13,3,9,1,1,1,2,15,2,468,10,102,33,,
Championship - Round 11,07.11.2020 06:30,Reading,Stoke,0,3,69%,15,5,4,6,8,0,0,7,0,588,9,133,69,31%,10,3,5,2,1,1,5,15,2,263,16,71,27,,
Championship - Round 10,04.11.2020 13:45,Birmingham,Wycombe,1,2,54%,17,4,8,5,7,0,1,12,1,384,11,109,63,46%,13,3,4,6,5,2,3,7,0,323,9,119,53,,
Championship - Round 10,04.11.2020 13:45,Derby,QPR,0,1,52%,7,4,1,2,5,2,2,9,1,501,11,136,51,48%,14,3,6,5,6,3,4,11,0,467,13,117,52,,
Championship - Round 10,04.11.2020 13:45,Nottingham,Coventry,2,1,52%,15,4,5,6,5,1,6,16,1,463,10,121,35,48%,15,7,6,2,4,3,2,13,2,438,16,108,45,,
Championship - Round 10,04.11.2020 13:45,Rotherham,Luton,0,1,56%,16,5,6,5,5,1,4,10,1,366,14,135,51,44%,10,5,3,2,7,2,5,18,1,287,20,98,42,,
Championship - Round 10,04.11.2020 13:00,Reading,Preston,0,3,59%,17,5,8,4,4,1,2,11,1,490,15,131,57,41%,10,5,4,1,1,2,5,7,2,352,24,137,32,,
Championship - Round 10,04.11.2020 13:00,Watford,Stoke,3,2,67%,12,3,4,5,4,1,1,12,2,690,10,120,54,33%,5,3,2,0,1,2,0,10,2,342,10,97,36,,
Championship - Round 10,03.11.2020 13:45,Blackburn,Middlesbrough,0,0,49%,6,1,4,1,3,2,3,19,5,328,16,52,27,51%,20,3,7,10,12,1,1,9,1,308,17,102,80,,
Championship - Round 10,03.11.2020 13:45,Cardiff,Barnsley,3,0,50%,15,9,3,3,2,1,3,8,0,460,13,112,33,50%,4,3,1,0,3,0,6,15,1,453,15,114,31,,
Championship - Round 10,03.11.2020 13:00,Brentford,Swansea,1,1,55%,7,1,5,1,2,1,4,14,3,485,9,92,33,45%,13,5,5,3,9,4,0,20,0,394,14,104,63,,
Championship - Round 10,03.11.2020 13:00,Huddersfield,Bristol City,1,2,63%,7,2,3,2,3,2,1,15,3,610,7,127,47,37%,10,3,7,0,4,3,1,10,0,354,12,104,23,,
Championship - Round 10,03.11.2020 13:00,Norwich,Millwall,0,0,61%,27,6,11,10,8,0,0,14,0,602,13,122,63,39%,6,0,4,2,2,1,6,10,1,382,15,117,34,,
Championship - Round 9,31.10.2020 09:00,Barnsley,Watford,1,0,34%,7,2,3,2,2,0,0,9,1,327,18,123,36,66%,7,0,3,4,3,5,1,9,1,643,15,128,54,,
Championship - Round 9,31.10.2020 09:00,Bournemouth,Derby,1,1,69%,10,5,4,1,4,2,3,13,2,599,11,119,72,31%,10,4,3,3,1,0,4,13,1,274,24,93,24,,
Championship - Round 9,31.10.2020 09:00,Luton,Brentford,0,3,48%,4,1,1,2,5,1,2,10,1,391,10,82,47,52%,12,5,5,2,4,0,1,12,1,428,15,86,42,,
Championship - Round 9,31.10.2020 09:00,Middlesbrough,Nottingham,1,0,46%,12,3,3,6,8,3,1,8,1,295,15,104,50,54%,5,1,2,2,2,1,2,18,2,354,6,96,31,,
